AppId,StartTime,EndTime,Id
"Dotyk.Application.AirHockey","2018-02-01T14:42:04.615903Z","2018-02-01T14:54:18.612Z","59732ad9-c10d-4508-ba9f-a48f873c72c9"
"Dotyk.Application.JigsawPuzzle","2018-02-01T14:42:20.9204992Z","2018-02-01T14:43:36.513Z","9c3fec2e-5a7c-43e6-a0d2-5e51cdb7c958"
"Dotyk.Application.AirHockey","2018-02-01T14:43:41.5689073Z","2018-02-01T15:30:04.3Z","2a2204b0-a922-4bde-94cb-20ce85715679"
"Dotyk.Application.AirHockey","2018-02-01T14:44:30.4940526Z","2018-02-01T15:22:07.728Z","100b8910-3ea5-4b33-ade1-16d89aac1dd4"
"Dotyk.Application.AirHockey","2018-02-01T14:44:51.1632975Z","2018-02-01T14:46:53.394Z","99751295-807e-41dc-8672-0f2a69597f0b"
"Dotyk.Application.News","2018-02-01T14:44:57.8015962Z","2018-02-01T16:02:20.245Z","7bc8774d-00a5-45b1-b673-8eea6d3e674d"
"Dotyk.Application.AirHockey","2018-02-01T14:47:01.3014671Z","2018-02-01T15:21:43.15Z","7a94a75e-9c4f-4e02-b392-03d3d81d22e8"
"Dotyk.Application.Paint","2018-02-01T14:50:42.2972071Z","2018-02-01T16:38:39.642Z","f77f0c85-ba07-4fb1-a8ff-2174879973d9"
"Dotyk.Application.JigsawPuzzle","2018-02-01T14:54:28.0486461Z","2018-02-01T15:19:50.01Z","8167cf32-9930-43a1-9125-cfe4e3f98ea1"
"Dotyk.Application.AirHockey","2018-02-01T15:20:08.6582414Z","2018-02-01T15:27:49.786Z","c6b73618-f512-43a3-afb8-f1dbd140184f"
"Dotyk.Application.Paint","2018-02-01T15:20:29.6623772Z","2018-02-01T15:31:03.035Z","74d95415-a9ba-4a93-8543-e3b9948b3d96"
"Dotyk.Application.AirHockey","2018-02-01T15:21:50.6833098Z","2018-02-01T15:22:00Z","c8a86078-0279-4468-a962-499fcca02c26"
"Dotyk.Application.JigsawPuzzle","2018-02-01T15:29:18.0839315Z","2018-02-01T15:29:49.709Z","eb1442cf-9396-4842-add0-dd8e08de7f5e"
"Dotyk.Application.AirHockey","2018-02-01T15:29:56.2759087Z","2018-02-01T15:53:42.183Z","3bea1ef8-0545-4257-b667-3a1c38166198"
"Dotyk.Application.AirHockey","2018-02-01T15:30:15.2202941Z","2018-02-01T15:30:45.698Z","e90ae21a-8b3a-42a7-9378-2e710e635a43"
"Dotyk.Application.AirHockey","2018-02-01T15:31:10.5654321Z","2018-02-01T15:31:23.035Z","04253044-3ea3-47c7-9ef4-ea85a580b160"
"Dotyk.Application.AirHockey","2018-02-01T15:31:12.5314061Z","2018-02-01T15:42:15.994Z","92cae97c-864c-41e3-8fbc-f7629242289c"
"Dotyk.Application.AirHockey","2018-02-01T15:31:29.5387411Z","2018-02-01T15:41:38.677Z","61fba886-eef3-4489-be95-044f2c2f4209"
"Dotyk.Application.PhotoShare","2018-02-01T15:31:35.3820721Z","2018-02-01T15:31:44.487Z","b4c180b1-4260-431b-a174-bb7fa6253e55"
"Dotyk.Application.Restaurant","2018-02-01T15:31:49.1233633Z","2018-02-01T15:32:07.858Z","893e5345-8522-4e23-9e33-1d78ede2a5f4"
"Dotyk.Application.AirHockey","2018-02-01T15:40:08.6683307Z","2018-02-01T15:40:29.525Z","d3bbc3c2-8d9e-4684-8f6d-9ed13f79fee9"
"Dotyk.Application.Paint","2018-02-01T15:40:18.4911584Z","2018-02-01T15:41:13.256Z","cf636439-9bf9-4683-b0c1-cb025f96421a"
"Dotyk.Application.JigsawPuzzle","2018-02-01T15:40:35.8551901Z","2018-02-01T15:43:29.931Z","811947ad-d986-4068-b814-d1ddbc6e97aa"
"Dotyk.Application.AirHockey","2018-02-01T15:41:23.9285009Z","2018-02-01T15:45:00.063Z","9d991c55-ef7a-428a-aa98-8dfa61a9a2b8"
"Dotyk.Application.AirHockey","2018-02-01T15:41:27.856323Z","2018-02-01T15:44:38.297Z","337bf5a4-411f-48ee-b53d-31cddaa91ba2"
"Dotyk.Application.PhotoShare","2018-02-01T15:41:50.1870703Z","2018-02-01T15:41:52.682Z","a0605da7-4027-470e-91a9-5d6fb44cfe9f"
"Dotyk.Application.Paint","2018-02-01T15:42:27.3176114Z","2018-02-01T16:01:35.608Z","9a739cfb-d036-48ff-be2d-0c74972077bd"
"Dotyk.Application.AirHockey","2018-02-01T15:42:30.5884483Z","2018-02-01T15:47:04.277Z","edbea818-1933-4429-b4eb-984ba219055c"
"Dotyk.Application.JigsawPuzzle","2018-02-01T15:43:34.9832651Z","2018-02-01T15:45:02.464Z","c4f71234-f603-4d41-85ac-e6fce9438958"
"Dotyk.Application.PhotoShare","2018-02-01T15:44:48.6577593Z","2018-02-01T15:45:05.528Z","5078dfe7-db0d-4b36-a5ab-bdae5ff19f76"
"Dotyk.Application.PhotoShare","2018-02-01T15:45:07.5828517Z","2018-02-01T15:45:14.577Z","6804b935-95f0-433a-8ac7-2d2cdbb14647"
"Dotyk.Application.Paint","2018-02-01T15:45:13.0707203Z","2018-02-01T15:45:18.183Z","2053f81c-72bc-4b8c-81a7-f3821908b485"
"Dotyk.Application.Memory","2018-02-01T15:45:15.3587261Z","2018-02-01T15:45:39.204Z","63a74993-3747-4c1e-9427-8f6927b4bcdb"
"Dotyk.Application.Memory","2018-02-01T15:45:45.5185115Z","2018-02-01T15:48:57.159Z","258e38fb-989c-407a-9198-afda5a8e11f5"
"Dotyk.Application.Memory","2018-02-01T15:45:52.6736823Z","2018-02-01T15:51:24.024Z","8fcbd9de-a88f-494b-8c50-7781958585cd"
"Dotyk.Application.Restaurant","2018-02-01T15:45:57.8629786Z","2018-02-01T15:50:11.397Z","e1446ab4-fe8e-4a76-9657-66ea9ff587a8"
"Dotyk.Application.Memory","2018-02-01T15:45:59.4315596Z","2018-02-01T15:46:36.821Z","2c18d8cc-6513-4ece-b41b-9af2a5175936"
"Dotyk.Application.Paint","2018-02-01T15:46:43.9546418Z","2018-02-01T15:48:52.069Z","e5582456-ae25-4a5c-bdf4-7589eb21ac4f"
