ApplicationID,SessionID,PlaceID,ApplicationName
EC05FB25-F2FD-45D6-9D29-25837755B4D9,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Restaurant
73AF3AE5-7FAE-4402-82E3-F9345B22A339,D761EF96-390C-4D8E-995D-03FABC805921,87CD17B5-B593-4603-B488-7912FA320F2D,Dotyk.Application.JigsawPuzzle
C1C9A990-2D76-4402-AF1E-76E4469FD9A2,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.JigsawPuzzle
BFFDCDC4-BF4B-43C0-8DEB-8677513E7A6A,F6E6756E-2CAA-4154-87DC-22C91E019F16,1BD31074-917D-40AA-BED7-EAE7ABF32AF3,Dotyk.Application.Restaurant
1020E2D1-CE02-4EC7-9A1F-4ED67AF8A7D9,7D063DFC-3B3C-4986-A91E-9551F627895F,3B3212A5-996A-43FB-946D-C38B733C43AB,Dotyk.Application.JigsawPuzzle
F0E1D830-D4D1-406F-A86D-7E8977862B60,D761EF96-390C-4D8E-995D-03FABC805921,87CD17B5-B593-4603-B488-7912FA320F2D,Dotyk.Application.Restaurant
469DB6F6-6461-4178-BE4F-6B39A3673E88,732238AB-4D0E-483B-A06F-9ECEB48886AB,B5348B70-BE5D-4BBF-8F7A-20BC6E7EE78E,Dotyk.Application.Restaurant
C7B6E668-6D20-4C59-8312-8926749D4906,79155537-443F-4D34-99B4-9A0C40421DEC,70B3F1A8-D185-46E9-BD99-6309366952D0,Dotyk.Application.Restaurant
BE4FDDDD-2936-4D75-89E1-94EA3A9E424E,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.Restaurant
F8370DDD-410C-45B2-8FB8-C746C2EDB1DC,45B253B0-B10E-4B47-A6F6-51B2D4B09150,F52E660B-07EA-4401-8FCD-EBF0C876055A,Dotyk.Application.Restaurant
8DF9893B-E1D9-41C0-A957-1A4DB49C9766,724BBD7C-4020-4F54-8F37-E3991FCCE1F0,D905758F-7B01-4DE1-B2DE-0D37E8800DCD,Dotyk.Application.Restaurant
FE5EBFAF-B5DD-4262-8DF2-889DBAAD1D30,13900301-E0C7-4049-82BC-452F4DCDCEC2,BC47F7CC-7656-4A88-8DD6-4E841F15D091,Dotyk.Application.Restaurant
D2BBFFFE-002C-4F47-9CD2-928F7B44F7C2,CC272D44-E512-4061-9D26-A05223D6605E,9D0ADE92-C8FC-4B59-8431-03831FFD0020,Dotyk.Application.Restaurant
5B1B104F-2C9A-4056-9CED-2C2B22CB0F10,7D063DFC-3B3C-4986-A91E-9551F627895F,3B3212A5-996A-43FB-946D-C38B733C43AB,Dotyk.Application.Restaurant
315B1CA1-6A72-45C5-A8DE-7F0ED87B3606,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.JigsawPuzzle
0725083D-F015-4F89-9BED-B68CCCB7B4D9,F6E6756E-2CAA-4154-87DC-22C91E019F16,1BD31074-917D-40AA-BED7-EAE7ABF32AF3,Dotyk.Application.Restaurant
6630E83C-DB18-4EB8-B6DB-D47C9C8466DA,4D1C993E-6044-4443-A6A6-24DB24208283,F89F5180-17AE-49A0-A437-60D3076EF41D,Dotyk.Application.Restaurant
A28EB875-76E1-4ACF-A9E6-AD0C6CB91204,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Wallpapers
C54396E0-7AB7-42D0-B5BD-3F8918E78887,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.PhotoShare
03F4908F-F966-4758-A5B0-C0926D0E2787,4D1C993E-6044-4443-A6A6-24DB24208283,F89F5180-17AE-49A0-A437-60D3076EF41D,Dotyk.Application.Wallpapers
466C17B9-8164-418B-91BE-B51F3DBBCB41,4D1C993E-6044-4443-A6A6-24DB24208283,F89F5180-17AE-49A0-A437-60D3076EF41D,Dotyk.Application.Wallpapers
38664275-53B2-401A-A9FA-251049F008F2,5D004BBE-9657-4FDA-A35C-C358EB8667C4,12A47B8C-1FAE-4733-90EB-96A97F6CBFB1,Dotyk.Application.Wallpapers
0E9A75D5-1B3C-453C-9F86-01FD7AC5468B,73BC6053-FCC2-4A37-9741-950FD17C98FA,3518446E-DF4B-4C59-AF7B-841C44F715EB,Dotyk.Application.Wallpapers
5C082E8C-9CE1-4982-B35E-54525E6E3458,57EE923C-F43F-4929-9581-1365A1DC014B,05F798F4-7E5F-475B-B986-CA14C85CFA07,Dotyk.Application.Wallpapers
24408DF1-CF29-4C5F-ABE4-117D5DC27160,45B253B0-B10E-4B47-A6F6-51B2D4B09150,F52E660B-07EA-4401-8FCD-EBF0C876055A,Dotyk.Application.AirHockey
0B4B388D-3914-4685-A82A-74779B3AEF5C,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Wallpapers
210F156C-A1ED-4C25-8F4D-33650F48D89D,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Wallpapers
C231301D-8763-4EE8-AB54-88165C504D16,73BC6053-FCC2-4A37-9741-950FD17C98FA,3518446E-DF4B-4C59-AF7B-841C44F715EB,Dotyk.Application.Paint
AD941C0E-E347-4538-B48A-97AC444642B4,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Wallpapers
793F204E-F541-4418-92BA-1ABA44F2B2BF,73BC6053-FCC2-4A37-9741-950FD17C98FA,3518446E-DF4B-4C59-AF7B-841C44F715EB,Dotyk.Application.PhotoShare
9A99F18D-F876-4181-AA38-94738A1F7185,73BC6053-FCC2-4A37-9741-950FD17C98FA,3518446E-DF4B-4C59-AF7B-841C44F715EB,Dotyk.Application.JigsawPuzzle
012ABE3C-28DC-4BF7-8E28-1259FAB52A13,73BC6053-FCC2-4A37-9741-950FD17C98FA,3518446E-DF4B-4C59-AF7B-841C44F715EB,Dotyk.Application.AirHockey
1629A49C-BAA5-490E-A175-C6891DCC8206,F6E6756E-2CAA-4154-87DC-22C91E019F16,1BD31074-917D-40AA-BED7-EAE7ABF32AF3,Dotyk.Application.Restaurant
8EF2EC91-E6F6-4D18-9B86-6A9F08D7630B,E45F9341-7872-4334-B3F9-9BC422141713,33AD16F3-C184-42F2-A2D0-08B5E58C67E3,Dotyk.Application.Restaurant
916EB01C-B2D0-4C3D-A1EA-3633BD1C3150,73BC6053-FCC2-4A37-9741-950FD17C98FA,3518446E-DF4B-4C59-AF7B-841C44F715EB,Dotyk.Application.Restaurant
FCF71281-49E3-47AF-BF8C-AB3D7FFC8723,73BC6053-FCC2-4A37-9741-950FD17C98FA,3518446E-DF4B-4C59-AF7B-841C44F715EB,Dotyk.Application.Restaurant
